Sigla;Descrição
ARPA; Programa Áreas Protegidas da Amazônia 
CAP; Circunferência à altura do peito 
CAS; Circunferência à altura do solo 
CBC;Centro Nacional de Avaliação da Biodiversidade e Pesquisa e Conservação do Cerrado 
CEMAVE;Centro Nacional de Pesquisa e Conservação de Aves Silvestres 
CENAP;Centro Nacional de Pesquisa e Conservação de Mamíferos Carnívoros 
CEPAM;Centro Nacional de Pesquisa e Conservação da Biodiversidade Amazônica 
COMOB;Coordenação de Monitoramento da Biodiversidade 
CPB;Centro Nacional de Pesquisa e Conservação de Primatas Brasileiros 
DAP;Diâmetro à altura do peito 
DAS;Diâmetro à altura do solo 
DIBIO;Diretoria de Pesquisa, Avaliação e Monitoramento da Biodiversidade 
EA; Estação Amostral 
GEF; Global Enviroment Facility 
GIZ;Deutsche Gesellschaft für Internationale Zusammenarbeit Gmbt 
IBGE;Instituto Brasileiro de Geografia e Estatística 
ICMBio;Instituto Chico Mendes de Conservação da Biodiversidade 
IFN; Inventário Florestal Nacional 
IN; Instrução Normativa 
MMA; Ministério do Meio Ambiente 
PARNA; Parque Nacional 
PI; Proteção Integral 
PNUD; Programa Nacional das Nações Unidas 
REBIO; Reserva Biológica 
RESEX; Reserva Extrativista 
RDS;Reserva de Desenvolvimento Sustentável 
RPPN; Reserva Particular do Patrimônio Natural 
SNUC;Sistema Nacional de Unidades de Conservação 
UA;Unidade Amostral 
UC;Unidade de Conservação 
US;Uso Sustentável 
USAID;United States Agency for International Development 
