ordem ;familia;taxon
Cariamiformes ;Cariamidae ;Cariama cristata 
Tinamiformes ;Tinamidae ;Crypturellus sp. (cerca 12 spp.) 
;;Nothura sp. (N. Maculosa ou N. minor*) 
;;Rhynchotus rufescens 
;;Tinamus major 
;;Tinamus solitarius 
;;Tinamus sp. (T. Guttatus, T. major  ou T. tao*) 
Galliformes ;Cracidae ;Aburria cujubi* 
;;Aburria cumanensis 
;;Aburria sp. (A. Cumanensis ou A. cujubi*) 
;;Crax alector 
;;Crax fasciolata 
;;Crax globulosa* 
;;Crax sp. (à confirmar) 
;;Nothocrax urumutum 
;;Ortalis guttata 
;;Ortalis motmot 
;;Ortalis ruficeps 
;;Ortalis superciliaris 
;;Pauxi tomentosa 
;;Pauxi tuberosa 
;;Pauxi sp. (P. tomentosa, P. tuberosa) 
;;Penelope jacquacu 
;;Penelope marail 
;;Penelope obscura 
;;Penelope superciliaris alagoensis* 
;;Penelope sp. (Penelope pileata*, P. jacucaca*, P. superciliaris ou P. ochrogaster) 
;Odontophoridae ;Odontophorus capueira 
;;Odontophorus gujanensis 
;;Odontophorus stellatus 
;;Odontophorus sp. (O. gujanensis, O. stellatus) 
Gruiformes ;Psophiidae ;Psophia crepitans 
;;Psophia dextralis* 
;;Psophia interjecta* 
;;Psophia leucoptera 
;;Psophia obscura* 
;;Psophia ochroptera 
;;Psophia viridis* 
