tribo,2016,2017,2018,2019,2021,2022
Ageroniini,1,1.382,1.015,0.93,1.441,0.747
Anaeini,1,1.066,1.14,0.784,1.763,0.782
Biblidini,1,-,-,-,1.42,1
Brassolini,1,1.744,1.273,0.743,1.174,0.766
Coeini,1,2.186,1.354,0.824,1.111,0.833
Epicaliini,1,1.426,1.461,0.808,1.108,0.867
Epiphilini,1,1.023,0.954,1.097,1.568,0.673
Haeterini,1,1.707,0.987,0.905,-,1.234
Melanitini,1,-,2.051,-,-,0.87
Morphini,1,0.922,1.796,0.874,0.976,0.856
Preponini,1,1.053,1.096,1.085,1.047,0.746
Satyrini,1,-0.282,-0.043,84.796,-1.079,0.357
Callicorini,-,1,1.005,0.847,-,1.209
