tribo,2014,2015,2016,2017,2018,2019,2020,2021,2022
Anaeini,1,0.857,1.151,0.695,0.893,0.905,1.118,1.207,0.862
Brassolini,1,1.053,0.73,0.786,1.022,0.942,0.811,1.459,0.799
Coeini,1,1,1.264,0.567,0.969,0.976,1.161,1.01,0.85
Epicaliini,1,1.247,0.802,0.956,0.946,0.905,1.123,1.113,0.769
Morphini,1,0.868,0.759,0.666,1.006,1.066,0.821,1.326,0.751
Preponini,1,0.696,1.402,0.946,0.938,0.891,0.864,1.332,0.883
Satyrini,1,0.944,-0.015,-3.019,8.162,1.141,1.127,0.708,0.785
Biblidini,-,1,-,1.174,1.174,1.198,-,0.827,0.79
Callicorini,-,1,1.112,-,1.173,1.343,0.883,0.79,1.122
Epiphilini,-,1,0.965,0.727,0.847,1.16,1.033,1.185,0.872
Ageroniini,-,-,1,1.171,1.168,0.379,4.191,0.733,1.136
Haeterini,-,-,1,0.909,1.005,1.009,1.118,0.919,1.145
Melanitini,-,-,1,1,1.014,1.248,-,0.886,1.013
