Unidades de conservação ;Número no mapa (CNUC) (Figura 5) ;Bioma ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 
ESEC de Pirapitinga ;61 ;Cerrado ;;;;;;;;;P, B, M/A 
ESEC Serra Geral do Tocantins ;76 ;Cerrado ;M/A ;P, M/A ;;;P ;;;;
PARNA da Chapada dos Veadeiros ;139 ;Cerrado ;P, B, M/A ;M/A ;B ;B ;P ;;;;
PARNA da Serra da Bodoquena ;143 ;Cerrado ;P, B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;;;M/A 
PARNA da Serra do Cipó ;148 ;Cerrado ;P, M/A ;;M/A ;B, M/A ;P, B, M/A ;;;B ;B 
PARNA de Brasília ;159 ;Cerrado ;P ;;;B ;P, B ;B ;;;
PARNA da Serra da Bocaina ;142 ;Mata Atlântica ;P, M/A ;B, M/A ;B, M/A ;;;;;;
PARNA da Serra dos Órgãos ;152 ;Mata Atlântica ;P, M/A ;M/A ;P, B, M/A ;B, M/A ;;P, B, M/A ;;;
PARNA do Iguaçu ;172 ;Mata Atlântica ;;;B, M/A ;B, M/A ;B ;B, M/A ;;B, M/A ;B, M/A 
PARNA do Superagui ;178 ;Mata Atlântica ;M/A ;M/A ;P, B, M/A ;P, B ;P, B, M/A ;P, B ;;;B 
REBIO de Una ;202 ;Mata Atlântica ;M/A ;;;;;;;;B, M/A 
REBIO Guaribas ;196 ;Mata Atlântica ;;;B, M/A ;;;;;;
ESEC da Terra do Meio ;47 ;Amazônia ;M/A ;;P, M/A ;B, M/A ;M/A ;;;;B 
ESEC de Maracá ;57 ;Amazônia ;;;;P ;B, M/A ;P, B, M/A ;;;B, M/A 
ESEC do Jari ;67 ;Amazônia ;;;;;;;;;P, B, M/A 
ESEC Niquiá ;60 ;Amazônia ;;;P ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A 
ESEC Rio Acre ;68 ;Amazônia ;;;;;;;;M/A ;B, M/A 
FLONA do Jamari ;118 ;Amazônia ;P, B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A ;M/A ;M/A ;M/A ;B, M/A 
FLONA do Tapajós ;123 ;Amazônia ;;;;;;;;;B, M/A 
PARNA Campos Amazônicos ;284 ;Amazônia ;;;;;;P, M/A ;;B, M/A ;B, M/A 
PARNA da Amazônia ;136 ;Amazônia ;;;;M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A 
PARNA da Serra do Divisor ;149 ;Amazônia ;;;;;P, B, M/A ;P, B, M/A ;P, M/A ;B, M/A ;P, B, M/A 
PARNA da Serra do Pardo ;151 ;Amazônia ;;;M/A ;M/A ;M/A ;M/A ;;;P 
PARNA de Pacaás Novos ;163 ;Amazônia ;;;;;;P, B ;B, M/A ;B, M/A ;M/A 
PARNA do Cabo Orange ;169 ;Amazônia ;;;B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;M/A ;B, M/A ;B, M/A 
PARNA do Jaú ;173 ;Amazônia ;P ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;;B, M/A ;P, B, M/A 
PARNA do Juruena ;281 ;Amazônia ;;;M/A ;P, B, M/A ;B, M/A ;B, M/A ;M/A ;;P, M/A 
PARNA do Monte Roraima ;174 ;Amazônia ;;;;;;P, B, M/A ;;B, M/A ;B, M/A 
PARNA Nascentes do Lago Jari ;1626 ;Amazônia ;;;;;;P, M/A ;;;B, M/A 
PARNA do Viruá ;179 ;Amazônia ;;;;;B, M/A ;P, B, M/A ;B, M/A ;B ;B, M/A 
PARNA Mapinguari ;1633 ;Amazônia ;;;;P, M/A ;P, B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;P, B, M/A 
PARNA Montanhas do Tumucumaque ;187 ;Amazônia ;P, M/A ;P, M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;;P, B, M/A ;B, M/A 
PARNA Serra da Cutia ;188 ;Amazônia ;;;P ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A 
PARNA Serra da Mocidade ;189 ;Amazônia ;;;P ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A 
REBIO do Gurupi ;207 ;Amazônia ;;M/A ;P, B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;;B, M/A ;B 
REBIO do Jaru ;208 ;Amazônia ;;;B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;P, B, M/A 
REBIO do Tapirapé ;´211 ;Amazônia ;;;P, B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;;B, M/A ;B, M/A 
REBIO do Uatumã ;213 ;Amazônia ;P, B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A ;
RESEX Arapixi ;285 ;Amazônia ;;;;;;P, B, M/A ;M/A ;B, M/A ;B, M/A 
RESEX Barreiro das Antas ;221 ;Amazônia ;;;;P, M/A ;P, B, M/A ;B, M/A ;B, M/A ;B, M/A ;B, M/A 
RESEX Chico Mendes ;222 ;Amazônia ;;;;;B, M/A ;B, M/A ;;;
RESEX do Alto Tarauacá ;274 ;Amazônia ;;;;B, M/A ;P, B, M/A ;B, M/A ;M/A ;B, M/A ;B, M/A 
RESEX do Cazumbá-Iracema ;232 ;Amazônia ;P, M/A ;M/A ;B, M/A ;P, B, M/A ;B, M/A ;P, B, M/A ;M/A ;B, M/A ;B, M/A 
RESEX do Lago do Capanã Grande ;242 ;Amazônia ;;;;;;;;B, M/A ;B, M/A 
RESEX do Rio Cautário ;238 ;Amazônia ;;;;;;B, M/A ;;B, M/A ;B, M/A 
RESEX Ipaú-Anilzinho ;241 ;Amazônia ;;;;;;P, B, M/A ;B, M/A ;B, M/A ;B, M/A 
;;;;;;;;;;;
RESEX Renascer ;1810 ;Amazônia ;;;;;P, B, M/A ;B ;M/A ;B, M/A ;
RESEX Rio Iriri ;280 ;Amazônia ;;;;;;;;;M/A 
RESEX Rio Ouro Preto ;256 ;Amazônia ;;;;P, B, M/A ;B, M/A ;B, M/A ;M/A ;B, M/A ;B, M/A 
RESEX Riozinho da Liberdade ;257 ;Amazônia ;;;;;;;P, B, M/A ;B, M/A ;P, B, M/A 
;;;;;;;;;;;
RESEX Riozinho do Anfrízio ;258 ;Amazônia ;;;M/A ;M/A ;M/A ;B, M/A ;;;B, M/A 
RESEX Tapajós-Arapiuns ;259 ;Amazônia ;M/A ;B, M/A ;B, M/A ;B, M/A ;P, B, M/A ;B, M/A ;M/A ;B, M/A ;B, M/A 
REBIO do Rio Trombetas ;210 ;Amazônia ;;;;;;M/A ;;;
;;;;;;;;;;;
RESEX Verde Para Sempre ;260 ;Amazônia ;;;;;;;;;P, B, M/A 
